label_name,rms_time
bankssts-lh,9.388778e-01
bankssts-rh,9.440417e-01
caudalanteriorcingulate-lh,9.354009e-01
caudalanteriorcingulate-rh,9.319298e-01
caudalmiddlefrontal-lh,9.170420e-01
caudalmiddlefrontal-rh,9.232072e-01
cuneus-lh,9.280234e-01
cuneus-rh,9.284571e-01
entorhinal-lh,9.422298e-01
entorhinal-rh,9.539289e-01
frontalpole-lh,9.416467e-01
frontalpole-rh,9.440725e-01
fusiform-lh,9.221597e-01
fusiform-rh,9.388906e-01
inferiorparietal-lh,9.264420e-01
inferiorparietal-rh,9.288151e-01
inferiortemporal-lh,9.295521e-01
inferiortemporal-rh,9.437930e-01
insula-lh,9.160491e-01
insula-rh,9.362027e-01
isthmuscingulate-lh,9.138737e-01
isthmuscingulate-rh,9.170328e-01
lateraloccipital-lh,9.257685e-01
lateraloccipital-rh,9.336178e-01
lateralorbitofrontal-lh,9.241550e-01
lateralorbitofrontal-rh,9.256206e-01
lingual-lh,9.280662e-01
lingual-rh,9.343151e-01
medialorbitofrontal-lh,9.240286e-01
medialorbitofrontal-rh,9.239549e-01
middletemporal-lh,9.342527e-01
middletemporal-rh,9.481823e-01
paracentral-lh,9.298304e-01
paracentral-rh,9.336264e-01
parahippocampal-lh,9.410286e-01
parahippocampal-rh,9.445005e-01
parsopercularis-lh,9.299332e-01
parsopercularis-rh,9.340791e-01
parsorbitalis-lh,9.366906e-01
parsorbitalis-rh,9.391149e-01
parstriangularis-lh,9.238952e-01
parstriangularis-rh,9.250135e-01
pericalcarine-lh,9.344245e-01
pericalcarine-rh,9.361073e-01
postcentral-lh,9.247823e-01
postcentral-rh,9.193268e-01
posteriorcingulate-lh,9.248868e-01
posteriorcingulate-rh,9.328056e-01
precentral-lh,9.060059e-01
precentral-rh,9.012841e-01
precuneus-lh,9.201251e-01
precuneus-rh,9.227119e-01
rostralanteriorcingulate-lh,9.246654e-01
rostralanteriorcingulate-rh,9.240337e-01
rostralmiddlefrontal-lh,9.057704e-01
rostralmiddlefrontal-rh,9.054554e-01
superiorfrontal-lh,8.984728e-01
superiorfrontal-rh,9.028303e-01
superiorparietal-lh,9.228606e-01
superiorparietal-rh,9.251421e-01
superiortemporal-lh,9.384013e-01
superiortemporal-rh,9.528848e-01
supramarginal-lh,9.215088e-01
supramarginal-rh,9.267924e-01
temporalpole-lh,9.614827e-01
temporalpole-rh,9.627934e-01
transversetemporal-lh,9.351339e-01
transversetemporal-rh,9.415016e-01
